Date	Day	Time (IST)	Cur.	Imp.	Event	Actual	Forecast	Previous	Notes
21-Apr-26	Tue	All Day	BR	Holiday	Brazil - Tiradentes Day				
21-Apr-26	Tue	18:00	US	3	Retail Sales (MoM) (Mar)			0.60%	
21-Apr-26	Tue	18:00	US	3	Core Retail Sales (MoM) (Mar)			0.50%	
22-Apr-26	Wed	11:30	UK	3	CPI (YoY) (Mar)			3.00%	
23-Apr-26	Thur	18:00	US	3	Initial Jobless Claims				
23-Apr-26	Thur	19:15	US	3	S&P Global Services PMI (Apr)			49.8	
23-Apr-26	Thur	19:15	US	3	S&P Global Manufacturing PMI (Apr)			52.3	
29-Apr-26	 Wed 	23:30	USD	3	Fed Interest Rate Decision		3.63%	3.63%	
